LOCATION,Country,GDP (PPP),TIME,Business enterprise,Government,Higher Education,Private non-profit,Rest of the world
ARG,Argentina,8.83E+11,2007,906512.9775,1998074.651,137509.5958,34395.03243,20046.63568
ARG,Argentina,8.83E+11,2008,891665.414,2271198.588,146619.9165,32402.2533,20066.0546
AUS,Australia,1.10E+12,2008,1.18E+07,6619145.911,23122.59097,337846.7459,308030.7733
AUT,Austria,4.27E+11,2007,3846967.884,2551501.104,49098.18717,37172.17263,1415112.266
AUT,Austria,4.27E+11,2009,4177083.815,3098978.636,59479.26716,50052.39131,1490366.051
AUT,Austria,4.27E+11,2011,4595890.658,3559638.622,66317.92671,47194.16292,1685966.845
AUT,Austria,4.27E+11,2013,5858828.02,4035264.114,70720.3508,57100.91642,1996844.4
AZE,Azerbaijan,1.72E+11,2010,29703.65186,272642.8977,963.30945,5766.5283,69.64084
AZE,Azerbaijan,1.72E+11,2012,31478.44357,289434.5387,557.14059,5014.26535,278.5703
AZE,Azerbaijan,1.72E+11,2013,104237.4189,233133.152,2802.08115,1120.83246,560.41623
AZE,Azerbaijan,1.72E+11,2014,107603.9602,238265.912,2846.66561,3131.33218,569.33312
BEL,Belgium,5.15E+11,2007,4433246.342,1599804.129,200035.4477,50092.65266,939218.491
BEL,Belgium,5.15E+11,2008,4792934.921,1826368.607,229525.6881,43774.65569,965724.2716
BEL,Belgium,5.15E+11,2009,4784545.86,2064148.059,261345.6889,60772.58921,984845.7189
BEL,Belgium,5.15E+11,2010,5163318.464,2279572.468,279273.0757,50417.65217,1194215.742
BEL,Belgium,5.15E+11,2011,5907963.712,2300005.65,281881.1147,59020.73659,1273092.915
BEL,Belgium,5.15E+11,2012,6829685.32,2705410.412,107930.9166,46203.97817,1444552.429
BEL,Belgium,5.15E+11,2013,7267497.933,2853983.795,121047.1818,48499.07752,1560490.069
BFA,Burkina Faso,3.07E+10,2008,5869.35867,3678.08724,7825.64121,421.09497,15525.97089
BFA,Burkina Faso,3.07E+10,2009,4732.60147,3589.46054,4847.48749,503.49173,23641.08371
BGR,Bulgaria,1.31E+11,2007,141885.7052,235490.8684,4308.37203,2116.15307,31590.16424
BGR,Bulgaria,1.31E+11,2008,147250.6954,294164.9494,2074.72244,4447.52023,32900.43497
BGR,Bulgaria,1.31E+11,2009,157639.1375,315372.1585,3834.7817,943.16853,43712.17835
BGR,Bulgaria,1.31E+11,2010,103974.4122,269327.9743,3020.6362,591.99142,247061.6972
BGR,Bulgaria,1.31E+11,2011,103706.6575,237510.0122,1220.9845,1121.13763,269167.1733
BGR,Bulgaria,1.31E+11,2012,148732.5487,225673.8285,1221.10687,9109.2263,331438.138
BGR,Bulgaria,1.31E+11,2013,149820.9596,242798.3572,1020.03129,3556.1264,370671.7171
BGR,Bulgaria,1.31E+11,2014,222418.3622,264064.1099,457.05081,4048.80862,508553.215
BHR,Bahrain,6.42E+10,2014,13589.61893,25900.87599,13247.61021,1248.61199,7766.77301
BIH,Bosnia and Herzegovina,4.13E+10,2014,24981.65602,52949.049,12588.9285,112.74656,12422.59511
BIH,Bosnia and Herzegovina,4.13E+10,2015,28423.60746,34048.04103,12741.21161,28.97706,15303.25715
BLR,Belarus,1.68E+11,2007,512613.4234,559073.9683,3144.65898,847.80686,59702.36497
BLR,Belarus,1.68E+11,2008,358880.2808,566216.644,3042.64844,840.86624,54272.14313
BOL,Bolivia,7.46E+10,2009,4073.16466,40068.32402,20780.87756,1605.78889,1454.40429
BWA,Botswana,3.58E+10,2012,4477.49914,56901.89019,9670.09797,571.538,5246.77304
CAN,Canada,1.59E+12,2007,1.22E+07,7914727.692,1583605.03,788917.2379,2290910.14
CAN,Canada,1.59E+12,2008,1.23E+07,8474631.194,1506817.132,822268.4889,1791168.107
CAN,Canada,1.59E+12,2009,1.22E+07,8664879.482,1686201.693,785673.4445,1773591.218
CAN,Canada,1.59E+12,2010,1.17E+07,8801654.855,1958016.074,874596.8911,1638640.804
CAN,Canada,1.59E+12,2011,1.26E+07,8736160.219,1913857.847,929910.7028,1525118.074
CAN,Canada,1.59E+12,2012,1.24E+07,9006859.193,2448965.818,956928.5726,1489626.846
CAN,Canada,1.59E+12,2013,1.19E+07,9061491.85,2643684.93,954573.1169,1551692.547
CAN,Canada,1.59E+12,2014,1.17E+07,8911665.482,2644058.31,954416.8877,1548096.545
CHE,Switzerland,5.18E+11,2008,7444497.803,2493555.134,253842.975,75684.05324,649677.2711
CHE,Switzerland,5.18E+11,2012,8308273.12,3474704.447,158780.3307,77543.88245,1650576.926
CHL,Chile,4.19E+11,2007,334789.0918,306317.342,160526.4273,23292.12904,35970.33054
CHL,Chile,4.19E+11,2008,448671.3903,346411.6107,176570.0282,20133.38485,34263.88909
CHL,Chile,4.19E+11,2009,259848.1831,369334.862,134571.5438,16400.46538,183581.6517
CHL,Chile,4.19E+11,2010,261489.4201,414791.5046,130259.6744,17410.61127,203823.312
CHL,Chile,4.19E+11,2011,417575.3825,414649.9868,118091.9181,19742.36609,262009.1895
CHL,Chile,4.19E+11,2012,473695.3467,487448.6702,127749.4218,28929.20886,237697.9232
CHL,Chile,4.19E+11,2013,528690.7128,593775.1514,180927.5767,12139.4906,231863.5533
CHL,Chile,4.19E+11,2014,489532.297,678671.965,145657.869,11058.36587,211905.3396
CHL,Chile,4.19E+11,2015,530077.1647,688903.3734,179780.7923,10216.98751,208300.3555
COL,Colombia,6.67E+11,2007,215833.5141,292511.1451,190497.759,41743.63473,22162.91773
COL,Colombia,6.67E+11,2008,302715.4508,302204.6002,201224.7054,42934.59982,28327.9561
COL,Colombia,6.67E+11,2009,161811.773,429828.9903,215855.2121,45330.49084,31092.51561
COL,Colombia,6.67E+11,2010,267389.0926,359051.0139,215262.5577,55976.04782,30933.65026
COL,Colombia,6.67E+11,2011,348544.2017,417549.7,234587.9646,57199.59073,25001.23803
COL,Colombia,6.67E+11,2012,450316.9496,426161.0528,274278.2811,48468.51696,36477.31339
COL,Colombia,6.67E+11,2013,564932.5663,674449.0971,303473.5905,56335.80551,45413.70246
COL,Colombia,6.67E+11,2014,553626.6982,623169.7151,330501.6257,59805.24477,37652.58886
COL,Colombia,6.67E+11,2015,541853.1234,699013.0004,279997.4252,52843.24015,39097.20902
CYP,Cyprus,2.67E+10,2007,16555.48101,65052.43875,2841.00052,1665.76132,14661.00117
CYP,Cyprus,2.67E+10,2008,18844.99592,67748.30083,2882.59976,773.97804,15491.0911
CYP,Cyprus,2.67E+10,2009,19159.06234,84050.62446,3358.56073,553.39921,14696.63899
CYP,Cyprus,2.67E+10,2010,15725.97963,84293.54033,4288.51328,575.23602,18460.49711
CYP,Cyprus,2.67E+10,2011,14000.41959,89813.95844,4929.70505,578.28131,17903.81845
CYP,Cyprus,2.67E+10,2012,12801.88323,78244.41993,5409.92391,812.05448,20609.7729
CYP,Cyprus,2.67E+10,2013,14788.26611,75783.49268,6874.97827,732.4961,23897.13902
CYP,Cyprus,2.67E+10,2014,17067.58348,70225.90209,6914.01328,760.33437,29428.1943
CZE,Czech Republic,3.56E+11,2007,1652296.788,1566164.014,29445.56577,160.45466,254403.2057
CZE,Czech Republic,3.56E+11,2008,1614409.667,1605421.553,45256.95112,111.44873,318403.5627
CZE,Czech Republic,3.56E+11,2009,1484816.477,1783980.598,44082.72766,823.90555,421115.9438
CZE,Czech Republic,3.56E+11,2010,1582568.479,1724874.814,33088.10948,724.4967,540525.687
CZE,Czech Republic,3.56E+11,2011,1771982.656,1961667.643,43967.82239,324.53361,924340.5078
CZE,Czech Republic,3.56E+11,2012,1979898.026,2001584.033,49322.74373,123.55521,1410637.66
CZE,Czech Republic,3.56E+11,2013,2291346.808,2117258.983,27692.23543,3651.16675,1654857.608
CZE,Czech Republic,3.56E+11,2014,2416045.858,2215290.298,37082.91558,6840.77872,2049712.24
CZE,Czech Republic,3.56E+11,2015,2393650.598,2233427.985,49090.68503,3647.22185,2253164.958
ECU,Ecuador,1.85E+11,2007,33784.08054,91100.52062,6057.83513,5125.8605,10950.70197
ECU,Ecuador,1.85E+11,2009,981.75675,212393.6734,38372.06708,2631.94363,50508.25161
ECU,Ecuador,1.85E+11,2010,5528.62477,221558.162,52807.22022,2813.49944,29413.85776
ECU,Ecuador,1.85E+11,2011,2128.54358,145672.2012,41411.57553,2394.61153,22862.83862
ECU,Ecuador,1.85E+11,2012,299.14024,154916.6028,61887.1136,928.7672,12264.02707
ECU,Ecuador,1.85E+11,2013,179.63131,235054.1855,83109.51862,965.5408,15227.35309
ECU,Ecuador,1.85E+11,2014,939.37613,341528.7902,101512.1042,947.29702,19821.93154
ESP,Spain,1.61E+12,2007,8269681.459,7941893.031,606089.942,99095.18057,1275578.602
ESP,Spain,1.61E+12,2008,9104416.542,9229494.036,652996.024,112165.9489,1154631.321
ESP,Spain,1.61E+12,2009,8808284.771,9569013.052,701116.8865,127116.3654,1108898.173
ESP,Spain,1.61E+12,2010,8643609.251,9377675.79,793864.219,137713.2777,1153060.999
ESP,Spain,1.61E+12,2011,8801384.624,8833927.764,790784.2981,109505.4255,1326770.093
ESP,Spain,1.61E+12,2012,8795005.871,8311289.886,758470.7961,123513.6177,1280885.959
ESP,Spain,1.61E+12,2013,8936767.177,8033922.138,786803.7396,121582.7562,1420794.701
ESP,Spain,1.61E+12,2014,8983852.727,8006156.016,803252.1037,130606.5873,1434676.322
EST,Estonia,3.81E+10,2007,130978.0915,143610.0824,2721.34973,579.78157,36730.97411
EST,Estonia,3.81E+10,2008,151859.9041,190942.1985,2087.86269,1054.93941,35739.51253
EST,Estonia,3.81E+10,2009,147086.5562,186566.8897,2642.86475,2588.65214,43300.38626
EST,Estonia,3.81E+10,2010,198554.6289,201031.4018,2768.27305,892.10778,52119.83199
EST,Estonia,3.81E+10,2011,413350.2737,246106.3331,2148.16263,738.85848,89116.49726
EST,Estonia,3.81E+10,2012,374741.6339,279870.1884,2439.24439,673.62296,72887.53951
EST,Estonia,3.81E+10,2013,262685.0745,294975.4,1687.89467,695.46625,64618.96879
EST,Estonia,3.81E+10,2014,201991.5571,269614.7844,4860.09872,640.53706,67895.02795
EST,Estonia,3.81E+10,2015,233601.4753,264152.7186,1191.11462,1337.88704,69423.35375
ETH,Ethiopia,1.62E+11,2010,23987.94758,124669.937,2416.88282,93.0293,66726.56099
ETH,Ethiopia,1.62E+11,2013,5903.3419,622485.6545,14162.48285,1782.71395,16924.62043
FIN,Finland,2.32E+11,2007,4548352.292,1603942.151,17352.00109,64723.61573,434523.25
FIN,Finland,2.32E+11,2008,5294808.277,1644811.84,15953.95368,77478.41579,499985.1994
FIN,Finland,2.32E+11,2009,5161636.896,1819173.958,10899.01519,86834.74015,500701.361
FIN,Finland,2.32E+11,2010,5126664.145,1992448.905,15300.2303,88538.17826,533193.8897
FIN,Finland,2.32E+11,2011,5345371.397,1996809.818,11914.46527,100757.4037,521927.0701
FIN,Finland,2.32E+11,2012,4741824.666,2007274.669,11703.97195,96924.0337,662277.7231
FIN,Finland,2.32E+11,2013,4495655.25,1923408.583,17135.78172,100382.5149,852809.1627
FIN,Finland,2.32E+11,2014,3849581.613,1977579.263,16234.10686,102484.7018,1245829.657
FIN,Finland,2.32E+11,2015,3678966.034,1940456.233,20249.97095,102577.7217,975539.5843
FRA,France,2.73E+12,2007,2.31E+07,1.68E+07,565695.2227,360391.9634,3303408.724
FRA,France,2.73E+12,2008,2.37E+07,1.81E+07,580225.7465,489105.0195,3708865.439
FRA,France,2.73E+12,2009,2.60E+07,1.92E+07,596831.6804,391681.0147,3496217.694
FRA,France,2.73E+12,2010,2.73E+07,1.89E+07,526834.8551,402406.1867,3843274.318
FRA,France,2.73E+12,2011,2.95E+07,1.88E+07,676776.0807,427479.9997,4153702.156
FRA,France,2.73E+12,2012,3.05E+07,1.95E+07,520398.5309,428168.3902,4185654.168
FRA,France,2.73E+12,2013,3.22E+07,2.06E+07,563253.6286,454442.5399,4606035.195
FRA,France,2.73E+12,2014,3.32E+07,2.06E+07,605795.4616,568522.2257,4639916.693
GBR,United Kingdom,2.72E+12,2007,1.62E+07,1.09E+07,433590.1144,1623706.18,6081701.992
GBR,United Kingdom,2.72E+12,2008,1.66E+07,1.12E+07,452796.1738,1801030.653,6484682.004
GBR,United Kingdom,2.72E+12,2009,1.62E+07,1.19E+07,467144.104,1819225.243,6068079.238
GBR,United Kingdom,2.72E+12,2010,1.66E+07,1.21E+07,464594.8892,1809950.581,6628489.58
GBR,United Kingdom,2.72E+12,2011,1.78E+07,1.18E+07,448408.8991,1850005.382,6888586.11
GBR,United Kingdom,2.72E+12,2012,1.76E+07,1.10E+07,441113.173,1820322.276,7636887.608
GBR,United Kingdom,2.72E+12,2013,1.92E+07,1.21E+07,529354.1793,1961360.168,7763669.344
GBR,United Kingdom,2.72E+12,2014,2.12E+07,1.25E+07,547775.8164,2128265.059,7752356.794
GBR,United Kingdom,2.72E+12,2015,2.24E+07,1.30E+07,571613.8205,2223507.982,8143316.32
GHA,Ghana,1.15E+11,2010,280.86724,188969.3937,759.61822,295.22977,86366.67611
GRC,Greece,2.85E+11,2008,661469.5085,1406721.652,44594.89428,19662.37776,129811.244
GRC,Greece,2.85E+11,2009,707172.5832,1156249.289,44872.70598,19784.86799,183919.678
GRC,Greece,2.85E+11,2010,685546.6175,905721.4341,43809.60839,19316.13661,222440.8547
GRC,Greece,2.85E+11,2011,638636.609,960487.2939,44268.98199,19518.67946,287772.9215
GRC,Greece,2.85E+11,2012,605845.5036,983841.6856,38267.00143,17672.92814,308034.7558
GRC,Greece,2.85E+11,2013,703755.7316,1214714.705,60391.68183,20040.71563,324916.4442
GRC,Greece,2.85E+11,2014,719425.9749,1284528.463,67299.93814,20857.15119,318670.7129
GRC,Greece,2.85E+11,2015,868830.5928,1441633.619,68186.58136,5540.05819,351476.8885
HRV,Croatia,9.46E+10,2007,234215.9652,332309.7242,19944.26705,1085.0508,72130.04354
HRV,Croatia,9.46E+10,2008,324139.0621,391151.5594,14693.68438,1471.95081,62364.2316
HRV,Croatia,9.46E+10,2009,289673.4453,372714.153,14174.59318,848.39109,50644.98762
HRV,Croatia,9.46E+10,2010,245265.1062,310585.9379,12400.85289,1266.05295,62319.03186
HRV,Croatia,9.46E+10,2011,254626.8173,321466.287,11382.94096,1658.56879,77670.79787
HRV,Croatia,9.46E+10,2012,258915.8614,308070.7962,11407.62378,1714.18658,97312.36092
HRV,Croatia,9.46E+10,2013,321984.6844,299028.673,12613.82376,2300.47253,116619.1471
HRV,Croatia,9.46E+10,2014,316157.2449,307430.5861,15238.28975,3319.56035,94570.13173
HRV,Croatia,9.46E+10,2015,376909.4111,293796.1714,16432.52563,3973.48267,116973.0775
IRL,Ireland,3.18E+11,2007,1256392.745,822233.4597,42018.77812,14075.76935,401003.0289
