LOCATION,Country,TIME,GDP (PPP),Basic research,Applied research,Experimental development,Medical and health sciences
ARG,Argentina,2007,8.8301817E11,907936.4116700001,1323035.93475,865541.0337700001,473852.76361
ARG,Argentina,2008,8.8301817E11,942861.57084,1485500.18897,933590.46695,446340.44878999994
ARG,Argentina,2009,8.8301817E11,1078710.50598,1337553.82238,456892.52638999996,256359.46831
ARG,Argentina,2010,8.8301817E11,1294154.22495,1390478.66597,423364.10365999996,255025.2106
ARG,Argentina,2011,8.8301817E11,1380797.53752,1645877.4373899999,343907.1525,278674.80812
ARG,Argentina,2012,8.8301817E11,1676178.08545,1836907.07089,419045.07036,292843.74294
ARG,Argentina,2013,8.8301817E11,1685000.31482,1977035.39878,385029.14458,303387.92961
ARG,Argentina,2014,8.8301817E11,1718065.76105,1953560.99182,349604.25564,315794.46346999996
AUS,Australia,2008,1.10077084E12,3840378.3991699996,7406801.422239999,7885817.67093,2901952.7771799997
AZE,Azerbaijan,2007,1.71563106E11,53906.645979999994,94927.85782,25053.16506,10655.3064
AZE,Azerbaijan,2008,1.71563106E11,53701.45292999999,97722.1639,40231.27145,12110.71968
AZE,Azerbaijan,2009,1.71563106E11,113794.13009,160937.45,47375.119510000004,16318.467030000002
AZE,Azerbaijan,2010,1.71563106E11,143753.02636,109128.53259,51009.08464,12365.74783
AZE,Azerbaijan,2011,1.71563106E11,166505.62941,94166.70881,43551.246119999996,22977.64145
AZE,Azerbaijan,2013,1.71563106E11,173729.03154,75656.19115,11208.32462,21856.232999999997
AZE,Azerbaijan,2014,1.71563106E11,178485.93405,75436.63879,14517.99464,22488.658359999998
AZE,Azerbaijan,2015,1.71563106E11,196966.39927,77018.91254,19886.0307,31565.12809
BGR,Bulgaria,2007,1.3098958E11,104528.22512,202473.70809,108389.32970999999,17426.69547
BGR,Bulgaria,2008,1.3098958E11,116786.50992000001,249809.27236,114242.54015999999,21483.55906
BGR,Bulgaria,2009,1.3098958E11,136525.4505,287020.77242,97955.20167000001,76884.84554
BGR,Bulgaria,2010,1.3098958E11,101519.12782000001,445985.61253000004,76471.97104,237931.70963000003
BGR,Bulgaria,2011,1.3098958E11,108318.15615,444241.51568,60166.29327,266554.03826
BGR,Bulgaria,2012,1.3098958E11,95649.04121,529901.20203,90624.60502999999,312733.26335
BGR,Bulgaria,2013,1.3098958E11,95766.66069,566712.01655,105388.51428999999,332842.24494
BGR,Bulgaria,2014,1.3098958E11,114013.12764,717226.9769,168301.44193,361599.35325
BHR,Bahrain,2014,6.4160059E10,15780.687240000001,19041.63812,14464.422680000001,4324.5488
BIH,Bosnia and Herzegovina,2015,4.1349562E10,18558.35564,48230.86118,16527.07704,2218.19365
BOL,Bolivia,2009,7.4577748E10,60580.937679999995,20155.9629,5271.9550899999995,917.4422900000001
CRI,Costa Rica,2008,7.4976674E10,11600.06068,117249.84413,10529.28585,9744.05097
CRI,Costa Rica,2009,7.4976674E10,17025.945490000002,112839.6559,19529.761000000002,12491.0846
CRI,Costa Rica,2012,7.4976674E10,12293.93918,69724.76085,37976.676139999996,12490.507109999999
CRI,Costa Rica,2013,7.4976674E10,17841.66254,78113.98253,25848.277009999998,17040.231219999998
CRI,Costa Rica,2014,7.4976674E10,12220.752059999999,65493.276529999996,51059.234019999996,21238.48101
CYP,Cyprus,2007,2.67348603E10,19718.70133,61039.07599,20019.34392,5420.19745
CYP,Cyprus,2008,2.67348603E10,20140.72451,65463.840520000005,20136.40061,5736.37352
CYP,Cyprus,2009,2.67348603E10,27650.877819999998,72338.23108,21829.17683,4640.03954
CYP,Cyprus,2010,2.67348603E10,28548.591419999997,73834.83376000001,20960.34119,4754.99821
CYP,Cyprus,2011,2.67348603E10,29658.388089999997,77197.69239,20370.10236,5306.16046
CYP,Cyprus,2012,2.67348603E10,26159.75499,73086.31779,18631.98168,5100.09825
CYP,Cyprus,2013,2.67348603E10,25389.80005,76440.26353,20246.30858,4467.78931
CYP,Cyprus,2014,2.67348603E10,25656.10746,76289.34676,22450.57328,5594.52251
CZE,Czech Republic,2007,3.56145431E11,1131225.9261100001,966710.66621,1404533.5059200001,301353.80728
CZE,Czech Republic,2008,3.56145431E11,1170385.9956,1031156.13579,1382061.05134,312061.04487
CZE,Czech Republic,2009,3.56145431E11,1241998.45144,977094.4273,1515726.77345,366786.33596
CZE,Czech Republic,2010,3.56145431E11,1162152.64992,1301037.5024299999,1418591.4339100001,348630.93426
CZE,Czech Republic,2011,3.56145431E11,1352570.81048,1698331.1359299999,1651381.21609,374564.76266
CZE,Czech Republic,2012,3.56145431E11,1633267.6803700002,1973697.4043400001,1834600.9335900003,440369.2699
CZE,Czech Republic,2013,3.56145431E11,2005067.27677,1977720.75099,2112018.77291,478693.72481000004
CZE,Czech Republic,2014,3.56145431E11,2082926.0105400002,2352452.85023,2289593.1502799997,541798.2089600001
ECU,Ecuador,2007,1.85242698E11,34483.06151,108178.95580999998,14096.11636,10950.70197
ECU,Ecuador,2008,1.85242698E11,91814.37132,177368.67186,24414.276009999998,26292.29724
ECU,Ecuador,2009,1.85242698E11,22690.4926,257354.31378000003,24805.99504,14891.15907
ECU,Ecuador,2010,1.85242698E11,26620.76306,258975.53098,26536.385169999998,11375.632529999999
ECU,Ecuador,2011,1.85242698E11,35081.693439999995,160637.14031,18763.59774,7516.7482
ECU,Ecuador,2012,1.85242698E11,54534.90987,135327.01729000002,40433.70895,11535.591629999999
ECU,Ecuador,2013,1.85242698E11,61302.74959,221004.97246,52228.510839999995,25581.27064
ECU,Ecuador,2014,1.85242698E11,90835.30267,287923.15508,85991.04131,37791.74272
EST,Estonia,2007,3.8107537E10,80397.58521,71028.67745,163192.20484000002,15030.837130000002
EST,Estonia,2008,3.8107537E10,101674.14297999999,84178.66087,195831.61332,31739.91616
EST,Estonia,2009,3.8107537E10,104248.91333,98837.33313,179099.10259000002,31559.483819999998
EST,Estonia,2010,3.8107537E10,123842.55863,95549.43862,235974.24625999999,39910.084930000005
EST,Estonia,2011,3.8107537E10,144053.9484,121870.60203,485535.57467,42025.01955
EST,Estonia,2012,3.8107537E10,155422.66482,158512.50233,416677.06208,50991.91461
EST,Estonia,2013,3.8107537E10,169293.34498,200146.75679,255224.61836,56139.26185
EST,Estonia,2014,3.8107537E10,165266.16501,142309.46873,237424.4708,55665.90195
ETH,Ethiopia,2010,1.61899889E11,44020.20718,96799.71109,47300.62556,34522.662260000005
GBR,United Kingdom,2012,2.72245483E12,6456500.11259,1.7598776570120003E7,1.443487630303E7,3082803.855
GRC,Greece,2011,2.8544693E11,578410.5457,800024.6787899999,572254.8702,400505.9152
GTM,Guatemala,2007,1.26206878E11,8673.27887,42141.54197,7018.07297,12314.73182
GTM,Guatemala,2008,1.26206878E11,8234.76339,41204.65875,7031.93278,12120.8315
GTM,Guatemala,2009,1.26206878E11,2881.2093800000002,43788.38009,4441.86446,19057.99956
